Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
700,"trace_1001",1,Yes,"11.00","1.00","396.00","0.81","0.68","0.62","21.00","477.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[L]REPP|[L/M]FRPP|[M-REAL]EPP|[M-REAL]SHRRP|[L]RIBPC|[L]REPC|[L]SRPP|[L]SRP|[L]FRP|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]HRHA|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
701,"trace_1023",1,Yes,"6.00","1.00","354.00","0.95","0.83","0.78","23.00","450.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]REPP|[L]FRPP|[L]REPC|[L]RIBPC|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[M-REAL]FRP
702,"trace_1026",1,Yes,"5.00","1.00","158.00","0.95","0.86","0.83","23.00","236.00",[L/M]SRP|[L]FHRRPC|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]HRRAN|[L]SRPP|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
703,"trace_1080",1,Yes,"8.00","0.00","250.00","0.84","0.76","0.76","21.00","335.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]HRRAN|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
704,"trace_1103",1,Yes,"9.00","1.00","281.00","0.79","0.73","0.75","20.00","361.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L]LRIRV|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
705,"trace_1164",1,Yes,"2.00","0.00","40.00","1.00","0.95","0.92","24.00","106.00",[L]EPP|[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L]AHRRPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
706,"trace_1170",1,Yes,"5.00","0.00","214.00","0.95","0.86","0.83","23.00","319.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L]LRRR|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
707,"trace_1252",1,Yes,"2.00","1.00","76.00","1.00","0.95","0.92","24.00","165.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]MHRRPC|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRHA|[L]HRHA|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
708,"trace_1278",1,Yes,"3.00","0.00","73.00","0.95","0.92","0.91","23.00","135.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]REPP|[L]SHRRPC|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
709,"trace_1279",1,Yes,"6.00","1.00","285.00","0.95","0.83","0.78","23.00","366.00",[L]SLRRP|[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L]LRRR|[L/M]LRIRV|[L]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
