Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"trace_3|trace_969|trace_1198|trace_1236|trace_1523",5,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
2,"trace_497|trace_519|trace_1452|trace_1570",4,Yes,"5.00","0.00","77.00","0.77","0.80","0.83","12.00","108.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
3,"trace_1|trace_1046|trace_1113|trace_1609",4,Yes,"1.00","0.00","42.00","0.92","0.96","1.00","12.00","88.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
4,"trace_194|trace_248|trace_1462|trace_1502",4,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
5,"trace_86|trace_1357|trace_1576",3,Yes,"5.00","0.00","94.00","0.77","0.80","0.83","12.00","130.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
6,"trace_278|trace_581|trace_1282",3,Yes,"5.00","0.00","77.00","0.77","0.80","0.83","12.00","108.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
7,"trace_232|trace_948|trace_1102",3,Yes,"3.00","0.00","84.00","0.85","0.88","0.92","12.00","123.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
8,"trace_335|trace_653|trace_871",3,Yes,"2.00","0.00","67.00","0.92","0.92","0.92","13.00","112.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
9,"trace_487|trace_631|trace_1203",3,Yes,"3.00","0.00","112.00","0.85","0.88","0.92","12.00","157.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
10,"trace_531|trace_952|trace_1185",3,Yes,"2.00","0.00","64.00","0.92","0.92","0.92","13.00","108.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
11,"trace_61|trace_1242|trace_1414",3,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
12,"trace_386|trace_611|trace_1595",3,Yes,"1.00","0.00","31.00","0.92","0.96","1.00","12.00","70.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
13,"trace_421|trace_960|trace_1187",3,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
14,"trace_446|trace_494|trace_555",3,Yes,"1.00","0.00","42.00","0.92","0.96","1.00","12.00","88.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
15,"trace_526|trace_1461|trace_1565",3,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
16,"trace_930|trace_1329|trace_1666",3,Yes,"1.00","0.00","45.00","0.92","0.96","1.00","12.00","92.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
17,"trace_504|trace_926",2,Yes,"4.00","0.00","155.00","0.88","0.86","0.88","16.00","230.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]HRRAN|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
18,"trace_1289|trace_1954",2,Yes,"5.00","1.00","80.00","1.00","0.84","0.72","18.00","127.00",[L/M]SRP|[L]FRPP|[L]RIBPC|[L]RBPC|[L]REPC|[L/M]SRPP|[L]REPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
19,"trace_4|trace_10",2,Yes,"6.00","1.00","97.00","0.77","0.77","0.77","13.00","130.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
20,"trace_31|trace_1808",2,Yes,"6.00","0.00","108.00","0.77","0.77","0.77","13.00","145.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[M-REAL]FRPP|[M-REAL]EPP|[L]SRPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
21,"trace_678|trace_1036",2,Yes,"7.00","1.00","159.00","0.69","0.72","0.75","12.00","214.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[M-REAL]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
22,"trace_1154|trace_1396",2,Yes,"7.00","0.00","163.00","0.69","0.72","0.75","12.00","217.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
23,"trace_1263|trace_1823",2,Yes,"7.00","0.00","134.00","0.69","0.72","0.75","12.00","179.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
24,"trace_24|trace_134",2,Yes,"5.00","0.00","77.00","0.77","0.80","0.83","12.00","108.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
25,"trace_94|trace_1150",2,Yes,"5.00","0.00","97.00","0.77","0.80","0.83","12.00","134.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[M-REAL]LRRR|[L/M]FLRRP|[L/M]FRP
26,"trace_369|trace_622",2,Yes,"4.00","0.00","119.00","0.85","0.85","0.85","13.00","164.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
27,"trace_806|trace_1117",2,Yes,"5.00","0.00","77.00","0.77","0.80","0.83","12.00","108.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
28,"trace_809|trace_1761",2,Yes,"4.00","0.00","119.00","0.85","0.85","0.85","13.00","164.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
29,"trace_1070|trace_1488",2,Yes,"5.00","1.00","99.00","0.77","0.80","0.83","12.00","135.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
30,"trace_1561|trace_1762",2,Yes,"5.00","0.00","77.00","0.77","0.80","0.83","12.00","108.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[M-REAL]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
31,"trace_45|trace_880",2,Yes,"3.00","0.00","72.00","0.85","0.88","0.92","12.00","115.00",[M-REAL]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
32,"trace_139|trace_1965",2,Yes,"2.00","0.00","55.00","0.92","0.92","0.92","13.00","95.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
33,"trace_230|trace_311",2,Yes,"2.00","0.00","64.00","0.92","0.92","0.92","13.00","108.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
34,"trace_270|trace_1416",2,Yes,"3.00","1.00","84.00","0.85","0.88","0.92","12.00","123.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
35,"trace_310|trace_1264",2,Yes,"3.00","0.00","84.00","0.85","0.88","0.92","12.00","123.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
36,"trace_422|trace_640",2,Yes,"2.00","0.00","42.00","0.92","0.92","0.92","13.00","78.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
37,"trace_491|trace_1883",2,Yes,"3.00","1.00","98.00","0.85","0.88","0.92","12.00","137.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
38,"trace_803|trace_1464",2,Yes,"3.00","0.00","72.00","0.85","0.88","0.92","12.00","115.00",[M-REAL]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
39,"trace_977|trace_1341",2,Yes,"3.00","0.00","74.00","0.85","0.88","0.92","12.00","115.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
40,"trace_1112|trace_1511",2,Yes,"3.00","1.00","98.00","0.85","0.88","0.92","12.00","137.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
41,"trace_1303|trace_1475",2,Yes,"3.00","0.00","98.00","0.85","0.88","0.92","12.00","137.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
42,"trace_1343|trace_1697",2,Yes,"3.00","1.00","84.00","0.85","0.88","0.92","12.00","123.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
43,"trace_1370|trace_1406",2,Yes,"3.00","0.00","74.00","0.85","0.88","0.92","12.00","115.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L]FLRRP|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
44,"trace_1721|trace_1800",2,Yes,"1.00","0.00","30.00","1.00","0.96","0.93","14.00","67.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L]LRIRV|[L/M]FLRRP|[L/M]FRP
45,"trace_52|trace_1326",2,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
46,"trace_153|trace_260",2,Yes,"1.00","0.00","47.00","0.92","0.96","1.00","12.00","93.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
47,"trace_186|trace_398",2,Yes,"1.00","0.00","34.00","0.92","0.96","1.00","12.00","75.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
48,"trace_228|trace_1047",2,Yes,"1.00","0.00","17.00","0.92","0.96","1.00","12.00","48.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
49,"trace_317|trace_1981",2,Yes,"1.00","0.00","15.00","0.92","0.96","1.00","12.00","46.00",[M-REAL]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
50,"trace_412|trace_1073",2,Yes,"1.00","0.00","47.00","0.92","0.96","1.00","12.00","93.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[M-REAL]FLRRP|[L/M]FRP
51,"trace_603|trace_1679",2,Yes,"1.00","0.00","42.00","0.92","0.96","1.00","12.00","88.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[M-REAL]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
52,"trace_652|trace_1456",2,Yes,"1.00","0.00","42.00","0.92","0.96","1.00","12.00","88.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
53,"trace_745|trace_994",2,Yes,"1.00","1.00","37.00","0.92","0.96","1.00","12.00","82.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
54,"trace_932|trace_1312",2,Yes,"1.00","1.00","48.00","0.92","0.96","1.00","12.00","93.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[M-REAL]FRP
55,"trace_1090|trace_1731",2,Yes,"1.00","0.00","42.00","0.92","0.96","1.00","12.00","88.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[M-REAL]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
56,"trace_1099|trace_1129",2,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
57,"trace_1215|trace_1957",2,Yes,"1.00","0.00","17.00","0.92","0.96","1.00","12.00","48.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRIRV|[L/M]LRERV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
58,"trace_1344|trace_1870",2,Yes,"1.00","0.00","27.00","0.92","0.96","1.00","12.00","64.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
59,"trace_1733|trace_1756",2,Yes,"1.00","1.00","34.00","0.92","0.96","1.00","12.00","75.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[M-REAL]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRRR|[L/M]FLRRP|[L/M]FRP
60,"trace_901",1,Yes,"16.00","3.00","1,227.00","0.81","0.69","0.76","38.00","1,248.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L]FRPP|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]AHRRPC|[L]FRPP|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
61,"trace_1574",1,Yes,"10.00","3.00","1,052.00","0.88","0.81","0.88","40.00","1,143.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L]MHRRPC|[L/M]REPP|[L]LRERV|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[M-REAL]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
62,"trace_1556",1,Yes,"15.00","3.00","1,190.00","0.81","0.70","0.78","37.00","1,210.00",[L/M]SRP|[M-REAL]SRPP|[L]FRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[M-REAL]FRPP|[L]SRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[M-REAL]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L]AHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP|[L]LRRR
63,"trace_1947",1,Yes,"17.00","3.00","1,144.00","0.79","0.66","0.73","37.00","1,169.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L]FRPP|[L]RBPC|[L]RIBPC|[L/M]SRPP|[L]REPP|[L]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[M-REAL]EPP|[M-REAL]SHRRP|[L]SRP|[L]FRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]HRHA|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP|[L]EPP|[L]SLRRP
