Sub,Occurrences
SUB_1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0
SUB_2,4,3,4,4,4,6,4,4,1,2,3,4,3,1,2,2,3,0,3,2,1
SUB_3,2,2,0,0,1,1,1,2,3,2,3,0,3,2,2,2,0,1,3,2,0
SUB_4,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
SUB_5,1,0,0,0,2,2,1,2,0,2,0,3,3,3,1,2,1,0,1,1,0
SUB_6,2,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
SUB_9,2,1,1,0,0,0,1,1,0,1,1,0,2,0,2,1,0,1,1,0,0
SUB_10,1,1,0,2,0,1,2,2,2,0,1,1,2,2,1,1,0,0,3,1,0
SUB_11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
SUB_13,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1
SUB_15,0,0,0,1,0,0,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0
SUB_18,1,1,1,0,1,0,0,0,0,0,1,1,2,1,0,1,1,1,0,2,0
SUB_19,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SUB_21,1,1,0,1,1,1,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0
SUB_26,1,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
SUB_27,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0
SUB_33,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
SUB_34,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
SUB_37,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SUB_38,0,0,1,0,1,1,0,0,2,0,1,0,2,1,3,0,0,1,1,0,0
SUB_55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SUB_56,1,2,1,0,0,2,1,0,0,0,1,1,1,3,0,1,1,0,1,2,0
SUB_57,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB_59,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
SUB_60,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
SUB_78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUB_92,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SUB_100,1,0,0,1,0,1,1,1,0,0,0,1,1,2,1,1,0,0,1,0,0
SUB_172,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1
SUB_174,1,1,0,1,1,1,0,1,2,1,1,0,1,1,1,0,1,0,0,1,1
