Result of replaying imported_1762858884.496972 on null

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"trace_357",1,Yes,"0,00","3,00","30,00","1,00","1,00","1,00","22,00","108,00",[L/M]START|[L/M]SRP|[M-INVI]h1|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP|[L/M]END


ONLY RELIABLE RESULTS

Property,Value
#Reliable cases replayed,1
#Synchronous ev.class (log+model),22
#Skipped ev.class,0
#Unobservable ev.class,1
#Inserted ev.class,0
Calculation Time (ms),3.0
Raw Fitness Cost,0.0
Num. States,30.0
Trace Fitness,1.0
Move-Model Fitness,1.0
Move-Log Fitness,1.0
Trace Length,22.0
Queued States,108.0


Property,Average,Minimum,Maximum,Std. Deviation,Number of cases with value 1.00
"Raw Fitness Cost","0,00","0,00","0,00","<NaN>","0,00"
"Calculation Time (ms)","3,00","3,00","3,00","<NaN>","0,00"
"Num. States","30,00","30,00","30,00","<NaN>","0,00"
"Move-Model Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Trace Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Move-Log Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Trace Length","22,00","22,00","22,00","<NaN>","0,00"
"Queued States","108,00","108,00","108,00","<NaN>","0,00"
