Result of replaying imported_1761924218.2171469 (repaired) on null

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Move-Log Fitness","Trace Length","Queued States",Match
1,"trace_439",1,Yes,"0,00","2,00","40,00","1,00","1,00","1,00","16,00","116,00",[L/M]START|[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SLRRP|[L/M]LRERV|[L/M]LRIRV|[L/M]LRIRV|[L/M]LRRR|[M-INVI]SILENT - SKIP sub2|[L/M]FLRRP|[M-INVI]SILENT - SKIP sub3|[L/M]FRP|[L/M]END


ONLY RELIABLE RESULTS

Property,Value
#Reliable cases replayed,1
#Synchronous ev.class (log+model),16
#Skipped ev.class,0
#Unobservable ev.class,2
#Inserted ev.class,0
Calculation Time (ms),2.0
Raw Fitness Cost,0.0
Num. States,40.0
Trace Fitness,1.0
Move-Model Fitness,1.0
Move-Log Fitness,1.0
Trace Length,16.0
Queued States,116.0


Property,Average,Minimum,Maximum,Std. Deviation,Number of cases with value 1.00
"Raw Fitness Cost","0,00","0,00","0,00","<NaN>","0,00"
"Calculation Time (ms)","2,00","2,00","2,00","<NaN>","0,00"
"Num. States","40,00","40,00","40,00","<NaN>","0,00"
"Move-Model Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Trace Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Move-Log Fitness","1,00","1,00","1,00","<NaN>","1,00"
"Trace Length","16,00","16,00","16,00","<NaN>","0,00"
"Queued States","116,00","116,00","116,00","<NaN>","0,00"
